User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Laura Knight","Reece Mitchell",Nurse,"2021-12-23 11:09:20",377,Incoming,54
"Laura Knight","Victoria Hill",Nurse,"2021-12-08 01:09:24",185,Incoming,54
"Laura Knight","Dominic Marshall",Nurse,"2021-11-17 11:50:54",315,Outgoing,76
"Laura Knight","Lily Richards",Carer,"2022-01-01 06:19:57",445,Incoming,59
"Laura Knight","Lexi Cox",Carer,"2021-12-14 04:52:47",257,Incoming,21
"Laura Knight","Oliver Thompson",Carer,"2021-12-10 11:03:12",359,Outgoing,80
"Laura Knight","Reece Mitchell",Nurse,"2021-11-18 02:03:31",916,Outgoing,55
"Laura Knight","Lizzie Murphy",Nurse,"2021-11-11 10:13:55",172,Incoming,9
"Laura Knight","Candice Holmes",Nurse,"2022-01-02 12:35:56",934,Outgoing,73
"Laura Knight","Amy Graham",Carer,"2021-11-17 05:46:01",990,Outgoing,94
"Laura Knight","Wendy Saunders",Nurse,"2021-11-20 11:55:40",821,Outgoing,9
"Laura Knight","Florence Lee",Carer,"2021-12-28 11:41:46",69,Outgoing,80
"Laura Knight","Adam Ross",Carer,"2021-11-16 10:58:13",473,Outgoing,64
"Laura Knight","Florence Lee",Carer,"2021-12-06 10:05:28",190,Incoming,21
"Laura Knight","Brandon King",Carer,"2021-12-16 10:55:06",820,Incoming,14
"Laura Knight","Emily Morris",Nurse,"2021-12-08 07:00:24",60,Incoming,9
"Laura Knight","Christian Anderson",Carer,"2021-12-10 09:22:22",432,Incoming,60
"Laura Knight","Tim Marshall",Nurse,"2021-11-21 12:42:29",844,Incoming,85
"Laura Knight","Lexi Cox",Carer,"2021-12-26 09:36:42",159,Outgoing,76
"Laura Knight","Oliver Thompson",Carer,"2021-12-10 03:22:43",524,Outgoing,47
"Laura Knight","Victoria Hill",Nurse,"2022-01-02 10:54:11",827,Outgoing,77
"Laura Knight","Stacey Cox",Nurse,"2021-12-10 11:53:28",474,Outgoing,44
"Laura Knight","Yvette King",Nurse,"2021-12-04 02:34:58",767,Outgoing,92
"Laura Knight","Alice Lloyd",Carer,"2022-01-02 11:34:12",986,Incoming,92
"Laura Knight","Emily Morris",Nurse,"2021-11-14 02:15:37",763,Incoming,11
"Laura Knight","Paul Miller",Carer,"2021-11-06 11:32:52",739,Incoming,16
"Laura Knight","Lexi Cox",Carer,"2021-12-07 12:53:22",804,Incoming,47
"Laura Knight","Maisie Robinson",Nurse,"2021-11-14 03:15:39",91,Incoming,91
"Laura Knight","Damien Wright",Nurse,"2021-12-30 08:12:36",399,Incoming,63
"Laura Knight","Ashley Miller",Nurse,"2021-12-03 03:42:37",945,Outgoing,98
"Laura Knight","Craig Cox",Nurse,"2021-11-17 06:01:12",620,Outgoing,91
"Laura Knight","Andrew Wood",Carer,"2021-12-06 04:25:36",848,Incoming,96
"Laura Knight","Tanya Wilkinson",Carer,"2021-11-19 06:16:40",285,Incoming,4
"Laura Knight","Emily Morris",Nurse,"2021-11-16 11:25:56",624,Incoming,96
"Laura Knight","Craig Cox",Nurse,"2021-11-10 11:50:04",769,Outgoing,9
"Laura Knight","Candice Campbell",Nurse,"2021-12-17 10:00:44",940,Incoming,58
"Laura Knight","Lilly Smith",Carer,"2021-12-01 03:56:39",763,Outgoing,90
"Laura Knight","Lexi Cox",Carer,"2021-11-26 12:46:30",788,Incoming,26
"Laura Knight","Charles Bennett",Nurse,"2021-11-11 05:03:54",672,Incoming,95
"Laura Knight","Isabella Davies",Nurse,"2021-12-26 09:30:03",428,Incoming,91
"Laura Knight","Harley Anderson",Nurse,"2021-11-11 02:25:55",359,Outgoing,73
"Laura Knight","Rowena Reynolds",Carer,"2021-12-19 01:59:20",531,Incoming,48
"Laura Knight","Harley Anderson",Nurse,"2021-12-10 09:27:08",108,Outgoing,30
"Laura Knight","Ashley Miller",Nurse,"2021-11-26 11:40:05",700,Outgoing,15
"Laura Knight","Isabel Griffiths",Nurse,"2021-12-24 02:36:37",366,Outgoing,59
"Laura Knight","Matthew Walker",Carer,"2021-11-08 02:44:48",489,Outgoing,51
"Laura Knight","Harley Anderson",Nurse,"2021-12-24 11:59:03",711,Outgoing,9
"Laura Knight","Elliot Stewart",Nurse,"2021-12-12 02:07:30",873,Outgoing,6
"Laura Knight","Tanya Wilkinson",Carer,"2021-11-17 06:18:41",114,Incoming,80
"Laura Knight","Brandon King",Carer,"2021-12-27 05:53:41",941,Outgoing,38
"Laura Knight","Emily Morris",Nurse,"2021-11-26 06:31:49",292,Incoming,82
"Laura Knight","Andy Rose",Carer,"2021-11-15 05:24:28",558,Incoming,97
"Laura Knight","Paul Miller",Carer,"2021-12-09 08:57:18",13,Outgoing,4
"Laura Knight","Naomi Khan",Nurse,"2021-11-13 02:03:37",308,Outgoing,53
"Laura Knight","Wayne James",Nurse,"2021-12-09 01:57:09",887,Incoming,26
"Laura Knight","Isabella Davies",Nurse,"2021-12-29 07:43:34",873,Outgoing,91
"Laura Knight","Ashley Miller",Nurse,"2021-11-30 06:36:07",972,Incoming,22
"Laura Knight","Ashley Holmes",Carer,"2021-12-06 06:48:53",240,Incoming,41
"Laura Knight","Wendy Saunders",Nurse,"2021-11-13 04:46:37",982,Outgoing,43
"Laura Knight","Jacob Carter",Nurse,"2021-12-25 04:09:06",77,Incoming,75
"Laura Knight","Paul Miller",Carer,"2021-12-04 07:47:05",455,Outgoing,67
"Laura Knight","Wayne James",Nurse,"2021-11-05 09:50:45",943,Outgoing,66
"Laura Knight","Jennifer Thompson",Carer,"2021-12-03 07:40:21",79,Outgoing,62
"Laura Knight","Jacob Carter",Nurse,"2021-11-08 09:48:20",509,Incoming,23
"Laura Knight","Lexi Cox",Nurse,"2021-11-18 12:07:21",861,Outgoing,86
"Laura Knight","Zoe Powell",Nurse,"2021-12-02 05:40:34",273,Incoming,48
"Laura Knight","Isabel Griffiths",Nurse,"2021-12-21 03:15:39",52,Outgoing,68
"Laura Knight","Naomi Khan",Nurse,"2021-12-09 02:42:54",442,Incoming,91
"Laura Knight","Dennis Kelly",Nurse,"2021-12-14 05:14:07",419,Incoming,64
"Laura Knight","Lexi Cox",Carer,"2021-11-14 12:47:21",832,Outgoing,53
"Laura Knight","Alice Shaw",Carer,"2021-11-11 06:38:34",904,Incoming,46
"Laura Knight","Dennis Kelly",Nurse,"2021-12-11 06:18:09",805,Incoming,29
"Laura Knight","Melissa Watson",Carer,"2021-11-28 02:48:20",145,Incoming,72
"Laura Knight","Jennifer Thompson",Carer,"2021-11-15 07:10:46",80,Incoming,83
"Laura Knight","Lilly Smith",Carer,"2021-12-09 03:10:05",989,Outgoing,15
"Laura Knight","Philip Watson",Nurse,"2021-12-02 09:37:40",927,Incoming,2
"Laura Knight","Max Holmes",Carer,"2021-11-19 08:09:09",348,Outgoing,31
"Laura Knight","Max Holmes",Carer,"2021-12-28 11:52:15",484,Incoming,99
"Laura Knight","Melissa Chapman",Carer,"2021-12-15 12:53:20",634,Outgoing,51
"Laura Knight","Jake Reid",Nurse,"2021-11-13 04:44:28",530,Outgoing,49
"Laura Knight","Chloe Wright",Carer,"2021-12-23 07:00:36",979,Incoming,12
"Laura Knight","Zoe Powell",Nurse,"2021-12-15 11:25:19",815,Outgoing,83
"Laura Knight","Isabella Davies",Nurse,"2021-12-14 11:15:21",314,Incoming,10
"Laura Knight","Adam Ross",Carer,"2021-11-30 12:29:20",264,Outgoing,23
"Laura Knight","Reece Mitchell",Nurse,"2021-12-25 08:09:35",643,Outgoing,24
"Laura Knight","Kelly Graham",Nurse,"2022-01-01 08:15:57",317,Incoming,2
"Laura Knight","Stacey Cox",Nurse,"2021-11-06 12:18:27",807,Outgoing,41
"Laura Knight","Paula Fox",Nurse,"2021-11-13 05:01:08",578,Outgoing,23
"Laura Knight","Amy Graham",Carer,"2021-12-20 02:19:43",895,Outgoing,14
"Laura Knight","Candice Holmes",Nurse,"2021-11-03 05:19:53",773,Incoming,7
"Laura Knight","Isabel Griffiths",Nurse,"2021-12-26 09:52:50",683,Incoming,32
"Laura Knight","Ashley Miller",Nurse,"2021-12-22 03:50:20",671,Incoming,28
"Laura Knight","Paula Anderson",Carer,"2021-11-29 10:18:46",820,Incoming,19
"Laura Knight","Jake Reid",Nurse,"2021-11-05 10:51:10",58,Outgoing,92
"Laura Knight","Candice Holmes",Nurse,"2021-12-13 10:40:18",412,Outgoing,14
"Laura Knight","Zoe Thomas",Carer,"2022-01-02 05:25:51",850,Incoming,19
"Laura Knight","Layla Edwards",Nurse,"2021-12-18 03:35:13",676,Outgoing,72
"Laura Knight","Gordon Collins",Nurse,"2021-12-07 05:46:06",288,Outgoing,66
"Laura Knight","Craig Cox",Nurse,"2021-12-22 08:21:45",766,Outgoing,89
"Laura Knight","Oliver Thompson",Carer,"2021-12-16 05:37:38",431,Outgoing,15
"Laura Knight","Louis Powell",Nurse,"2021-12-07 11:26:12",945,Incoming,52
"Laura Knight","Lilly Smith",Carer,"2021-11-06 12:06:16",638,Outgoing,64
"Laura Knight","Chloe Wright",Carer,"2021-11-13 07:05:28",939,Outgoing,76
"Laura Knight","Toby Russell",Nurse,"2021-12-01 12:37:28",990,Incoming,26
"Laura Knight","Wayne James",Nurse,"2021-11-20 11:45:06",65,Incoming,91
"Laura Knight","Florence Stevens",Nurse,"2021-12-29 09:01:59",455,Incoming,13
"Laura Knight","Dennis Kelly",Nurse,"2021-12-29 04:28:34",457,Outgoing,29
"Laura Knight","Noah Marshall",Carer,"2021-12-14 06:19:20",74,Incoming,20
"Laura Knight","Rachel Davies",Carer,"2021-12-28 01:22:51",9735,Incoming,31
"Laura Knight","Stephen Ellis",Nurse,"2022-01-03 03:48:28",5248,Outgoing,36
"Laura Knight","Lizzie Murphy",Nurse,"2022-01-02 06:56:18",8256,Outgoing,93
"Laura Knight","Louis Powell",Nurse,"2021-12-28 07:06:14",1808,Outgoing,14
"Laura Knight","Bradley Saunders",Carer,"2022-01-01 11:46:38",2949,Incoming,18
"Laura Knight","Matthew Walker",Carer,"2022-01-03 04:15:44",1659,Outgoing,16
"Laura Knight","Damien Wright",Nurse,"2021-12-29 08:06:19",5313,Incoming,63
"Laura Knight","Rachel Davies",Carer,"2022-01-01 12:27:03",7777,Outgoing,59
"Laura Knight","Tara Patel",Carer,"2022-01-02 05:54:19",984,Incoming,5
"Laura Knight","Maisie Robinson",Nurse,"2021-12-27 08:32:26",5508,Incoming,75
"Laura Knight","Alfie Kennedy",Nurse,"2022-01-01 10:41:19",6156,Outgoing,97
"Laura Knight","Mandy Parker",Carer,"2022-01-04 06:38:18",8135,Incoming,65
"Laura Knight","Tanya Wilkinson",Carer,"2022-01-01 07:17:02",9865,Outgoing,28
"Laura Knight","Darren Wilson",Carer,"2021-12-28 05:18:15",605,Outgoing,51
"Laura Knight","Lexi Bell",Carer,"2022-01-04 11:51:37",7849,Incoming,91
"Laura Knight","Alexa Wilkinson",Nurse,"2022-01-01 04:24:16",4870,Outgoing,2
"Laura Knight","Isabella Davies",Nurse,"2022-01-01 11:20:16",1283,Incoming,69
"Laura Knight","Paul Miller",Carer,"2021-12-27 05:27:23",9013,Outgoing,92
"Laura Knight","Elliot Stewart",Nurse,"2021-12-29 12:38:31",3095,Outgoing,70
"Laura Knight","Paul Miller",Carer,"2021-12-31 05:27:30",536,Outgoing,31
"Laura Knight","Ashley Miller",Nurse,"2022-01-01 07:04:36",6595,Incoming,69
"Laura Knight","Dennis Allen",Nurse,"2021-12-30 09:51:31",9257,Incoming,70
"Laura Knight","Dennis Allen",Nurse,"2021-12-27 01:08:12",3134,Outgoing,13
"Laura Knight","Craig Cox",Nurse,"2022-01-02 08:17:49",6728,Outgoing,34
"Laura Knight","Molly Edwards",Nurse,"2022-01-01 07:09:56",3267,Incoming,5
"Laura Knight","Kelly Graham",Nurse,"2021-12-31 01:18:49",6834,Incoming,0
"Laura Knight","Tara Patel",Carer,"2021-12-28 11:55:02",831,Incoming,24
"Laura Knight","Lexi Cox",Nurse,"2021-12-29 02:26:14",6626,Outgoing,55
"Laura Knight","Yvette King",Nurse,"2022-01-04 02:21:32",9738,Incoming,90
"Laura Knight","Tara Patel",Carer,"2021-12-27 05:56:32",3751,Incoming,42
"Laura Knight","Ellie Simpson",Carer,"2022-01-02 10:22:10",1478,Incoming,34
"Laura Knight","Harrison Davis",Nurse,"2021-12-27 09:56:49",1971,Outgoing,10
"Laura Knight","Martin Marshall",Carer,"2022-01-01 08:41:16",4601,Incoming,1
"Laura Knight","Jake Reid",Nurse,"2021-12-31 09:16:22",3773,Incoming,68
"Laura Knight","Isabella Davies",Nurse,"2021-12-27 12:02:22",1743,Outgoing,71
"Laura Knight","Ellie Simpson",Carer,"2021-12-28 11:59:26",5713,Outgoing,26
"Laura Knight","Lexi Cox",Nurse,"2021-12-29 11:59:36",7807,Incoming,28
"Laura Knight","Paula Anderson",Carer,"2022-01-05 12:24:46",7540,Incoming,100
"Laura Knight","Zoe Thomas",Carer,"2022-01-04 07:28:06",4110,Outgoing,65
"Laura Knight","Tanya Wilkinson",Carer,"2021-12-28 10:44:36",4748,Outgoing,58
"Laura Knight","Alfie Kennedy",Nurse,"2022-01-01 07:15:15",9080,Outgoing,32
"Laura Knight","Bradley Saunders",Carer,"2021-12-28 07:56:07",3393,Outgoing,89
"Laura Knight","Toby Russell",Nurse,"2021-12-31 08:32:18",2813,Outgoing,91
"Laura Knight","Alice Shaw",Carer,"2021-12-29 10:32:55",3745,Outgoing,74
"Laura Knight","Alice Lloyd",Carer,"2021-12-31 10:28:46",5747,Outgoing,27
"Laura Knight","Florence Stevens",Nurse,"2022-01-02 10:52:59",6916,Incoming,30
"Laura Knight","Mandy Parker",Carer,"2021-12-28 07:12:41",9527,Incoming,61
"Laura Knight","Tanya Campbell",Carer,"2021-12-31 12:08:30",100,Outgoing,51
"Laura Knight","Bradley Saunders",Carer,"2021-12-30 10:03:01",5990,Outgoing,85
"Laura Knight","Matthew Walker",Carer,"2022-01-04 07:18:40",6263,Outgoing,64
"Laura Knight","Adrian Turner",Carer,"2022-01-02 02:09:53",5001,Incoming,28
"Laura Knight","Florence Lee",Carer,"2021-12-29 01:15:50",701,Incoming,4
"Laura Knight","Damien Wright",Nurse,"2021-12-29 09:14:38",7792,Incoming,89
"Laura Knight","Maisie Robinson",Nurse,"2022-01-01 04:25:37",3469,Incoming,32
"Laura Knight","Claire Morgan",Carer,"2022-01-03 05:33:09",746,Incoming,50
"Laura Knight","Ruth Baker",Carer,"2021-12-31 07:27:42",6799,Incoming,92
"Laura Knight","Jake Reid",Nurse,"2022-01-02 02:49:05",460,Outgoing,87
"Laura Knight","Ruth Baker",Carer,"2022-01-04 05:11:13",3126,Incoming,98
"Laura Knight","Ella Johnson",Nurse,"2022-01-02 07:54:14",6291,Outgoing,78
"Laura Knight","Ashley Miller",Nurse,"2022-01-03 10:26:38",6910,Incoming,100
"Laura Knight","Alice Shaw",Carer,"2022-01-05 07:20:03",7148,Outgoing,98
"Laura Knight","Amy Graham",Carer,"2022-01-01 08:59:21",1661,Incoming,13
"Laura Knight","Brandon King",Carer,"2021-12-28 09:43:22",1894,Incoming,9
"Laura Knight","Holly Morris",Carer,"2021-12-31 09:32:02",1774,Outgoing,18
"Laura Knight","Candice Campbell",Nurse,"2021-12-27 05:54:00",4854,Incoming,67
"Laura Knight","Tanya Wilkinson",Carer,"2022-01-02 07:32:39",3251,Incoming,67
"Laura Knight","Ruth Collins",Nurse,"2021-12-28 10:40:09",373,Incoming,50
"Laura Knight","Jade Ellis",Carer,"2021-12-28 04:45:35",3226,Outgoing,10
"Laura Knight","Mandy Parker",Carer,"2022-01-04 04:32:14",1485,Outgoing,23
"Laura Knight","Tim Marshall",Nurse,"2022-01-03 07:07:38",3301,Incoming,24
"Laura Knight","Craig Cox",Nurse,"2022-01-01 08:41:55",3914,Incoming,52
"Laura Knight","Paula Fox",Nurse,"2022-01-03 10:40:16",8662,Incoming,16
"Laura Knight","Lily Richards",Carer,"2021-12-29 04:23:29",2537,Outgoing,64
"Laura Knight","Christian Anderson",Carer,"2022-01-01 05:34:33",4407,Outgoing,85
"Laura Knight","James Simpson",Carer,"2021-12-30 05:44:41",1706,Outgoing,31
"Laura Knight","Oliver Thompson",Carer,"2022-01-04 12:02:57",5276,Outgoing,75
"Laura Knight","Maisie Robinson",Nurse,"2021-12-30 04:25:54",6950,Incoming,61
"Laura Knight","Dominic Marshall",Nurse,"2022-01-03 08:07:02",8390,Incoming,26
"Laura Knight","Brandon King",Carer,"2021-12-29 04:28:04",6704,Outgoing,61
"Laura Knight","Ruth Baker",Carer,"2022-01-04 02:56:10",1860,Outgoing,46
"Laura Knight","Isabel Griffiths",Nurse,"2021-12-30 11:54:55",436,Incoming,86
"Laura Knight","Lily Richards",Carer,"2022-01-03 08:37:12",8688,Incoming,48
"Laura Knight","Christian Anderson",Carer,"2021-12-27 08:38:53",4462,Incoming,61
"Laura Knight","Jackson Ward",Nurse,"2022-01-02 07:19:07",6664,Incoming,0
"Laura Knight","Alexa Wilkinson",Nurse,"2021-12-30 01:26:30",7689,Incoming,87
"Laura Knight","Candice Campbell",Nurse,"2021-12-28 11:37:08",2036,Outgoing,96
"Laura Knight","Ashley Holmes",Carer,"2022-01-02 12:05:40",1920,Outgoing,8
"Laura Knight","Gordon Collins",Nurse,"2021-12-29 02:20:53",1072,Incoming,71
"Laura Knight","Jackson Ward",Nurse,"2021-12-29 10:18:58",7801,Incoming,70
"Laura Knight","Helena Richardson",Nurse,"2022-01-02 02:53:53",3722,Outgoing,9
"Laura Knight","Martin Marshall",Carer,"2021-12-31 02:28:35",3496,Outgoing,31
"Laura Knight","Grant Gray",Nurse,"2022-01-02 03:34:02",7729,Incoming,23
"Laura Knight","Dennis Allen",Nurse,"2021-12-31 04:02:59",5203,Outgoing,93
"Laura Knight","Jacob Carter",Nurse,"2021-12-30 04:07:38",7685,Outgoing,90
"Laura Knight","Naomi Khan",Nurse,"2021-12-30 08:02:44",5440,Incoming,37
"Helena Harris","Lizzie Murphy",Nurse,"2021-12-04 07:27:07",111,Incoming,53
"Helena Harris","Emily Morris",Nurse,"2021-12-19 06:25:39",75,Outgoing,79
"Helena Harris","Florence Stevens",Nurse,"2021-12-22 07:15:46",129,Incoming,43
"Helena Harris","Yvette King",Nurse,"2022-01-01 09:15:55",964,Incoming,22
"Helena Harris","Isabella Davies",Nurse,"2021-11-27 04:47:56",78,Outgoing,84
"Helena Harris","Maisie Robinson",Nurse,"2021-11-16 01:42:21",226,Incoming,94
"Helena Harris","Christian Anderson",Carer,"2021-11-20 11:10:47",821,Outgoing,67
"Helena Harris","Gordon Collins",Nurse,"2021-11-19 08:33:53",539,Outgoing,50
"Helena Harris","Jade Ellis",Carer,"2021-11-16 02:10:11",999,Incoming,63
"Helena Harris","Gordon Collins",Nurse,"2021-12-27 12:14:24",687,Incoming,24
"Helena Harris","Naomi Khan",Nurse,"2021-12-05 09:06:27",406,Incoming,60
"Helena Harris","Eva Edwards",Carer,"2021-11-22 05:43:45",112,Incoming,12
"Helena Harris","Candice Campbell",Nurse,"2021-11-25 09:23:37",771,Incoming,46
"Helena Harris","Stacey Cox",Nurse,"2021-12-24 03:09:23",137,Incoming,6
"Helena Harris","Naomi Khan",Nurse,"2021-12-30 02:13:41",432,Outgoing,0
"Helena Harris","Eva Edwards",Carer,"2021-11-21 10:15:23",155,Outgoing,88
"Helena Harris","Oliver Thompson",Carer,"2021-12-28 09:26:25",455,Incoming,84
"Helena Harris","Ethan Hughes",Nurse,"2021-12-09 11:19:46",905,Outgoing,90
"Helena Harris","Stephen Ellis",Nurse,"2021-12-10 09:34:49",843,Outgoing,87
"Helena Harris","Stephen Ellis",Nurse,"2021-12-31 01:58:24",712,Outgoing,73
"Helena Harris","Lexi Cox",Carer,"2021-12-11 12:41:41",162,Outgoing,60
"Helena Harris","Holly Morris",Carer,"2021-12-05 06:53:37",294,Outgoing,63
"Helena Harris","Ashley Miller",Nurse,"2021-12-29 02:35:14",540,Incoming,16
"Helena Harris","Bradley Saunders",Carer,"2021-12-31 10:36:04",779,Outgoing,82
"Helena Harris","Jacob Carter",Nurse,"2021-11-04 09:05:22",866,Outgoing,14
"Helena Harris","Holly Morris",Carer,"2021-12-27 01:18:58",450,Incoming,97
"Helena Harris","Holly Morris",Carer,"2021-12-30 04:29:21",720,Outgoing,16
"Helena Harris","Candice Campbell",Nurse,"2022-01-01 11:36:04",973,Incoming,61
"Helena Harris","Jacob Carter",Nurse,"2021-12-08 05:51:17",686,Outgoing,9
"Helena Harris","Amy Graham",Carer,"2021-11-29 01:55:10",426,Incoming,72
"Helena Harris","Jade Ellis",Carer,"2021-12-07 08:36:28",24,Outgoing,81
"Helena Harris","Zoe Powell",Nurse,"2021-12-16 12:30:08",172,Outgoing,18
"Helena Harris","Jackson Ward",Nurse,"2021-11-28 02:46:32",331,Outgoing,87
"Helena Harris","Callum Rose",Nurse,"2021-11-17 08:44:51",860,Incoming,93
"Helena Harris","Bradley Saunders",Carer,"2022-01-02 03:48:15",306,Outgoing,67
"Helena Harris","Dennis Allen",Nurse,"2021-11-13 03:54:07",875,Outgoing,31
"Helena Harris","Tanya Wilkinson",Carer,"2021-11-13 05:37:16",817,Incoming,47
"Helena Harris","Stacey Cox",Nurse,"2021-12-08 11:39:06",431,Incoming,79
"Helena Harris","Harley Anderson",Nurse,"2021-12-07 01:37:35",915,Outgoing,3
"Helena Harris","Claire Morgan",Carer,"2021-12-13 06:24:47",830,Outgoing,88
"Helena Harris","Zoe Thomas",Carer,"2021-12-08 10:00:28",562,Outgoing,59
"Helena Harris","Paul Miller",Carer,"2021-11-18 02:20:01",380,Outgoing,60
"Helena Harris","Harley Anderson",Nurse,"2021-12-15 10:59:54",638,Incoming,20
"Helena Harris","Louis Powell",Nurse,"2021-12-16 02:56:00",996,Incoming,3
"Helena Harris","Andy Rose",Carer,"2021-12-02 09:25:59",317,Outgoing,26
"Helena Harris","Mark Davis",Nurse,"2021-12-05 08:38:41",34,Outgoing,18
"Helena Harris","Harley Anderson",Nurse,"2021-11-05 01:27:09",687,Incoming,86
"Helena Harris","Louis Powell",Nurse,"2021-12-21 06:53:50",643,Outgoing,90
"Helena Harris","Ethan Hughes",Nurse,"2021-12-01 01:19:13",217,Incoming,85
"Helena Harris","Lexi Bell",Carer,"2021-12-15 07:21:06",648,Outgoing,26
"Helena Harris","Louis Powell",Nurse,"2022-01-02 01:35:25",40,Incoming,53
"Helena Harris","Candice Holmes",Nurse,"2021-12-10 03:23:53",289,Incoming,7
"Helena Harris","Lexi Bell",Carer,"2021-11-07 07:57:03",627,Outgoing,96
"Helena Harris","Max Holmes",Carer,"2021-11-19 12:29:25",907,Outgoing,97
"Helena Harris","Layla Edwards",Nurse,"2021-12-28 10:40:29",262,Incoming,37
"Helena Harris","Arthur Turner",Nurse,"2021-12-08 12:38:08",90,Outgoing,52
"Helena Harris","Bradley Saunders",Carer,"2021-12-05 09:41:36",294,Outgoing,71
"Helena Harris","Alice Lloyd",Carer,"2021-11-12 09:11:21",391,Outgoing,53
"Helena Harris","Holly Morris",Carer,"2022-01-02 03:06:57",980,Incoming,63
"Helena Harris","Candice Campbell",Nurse,"2021-11-16 06:57:36",368,Incoming,98
"Helena Harris","Tanya Campbell",Carer,"2021-11-20 09:46:12",379,Incoming,65
"Helena Harris","Lexi Cox",Nurse,"2021-12-06 04:01:30",418,Outgoing,29
"Helena Harris","Andrew Wood",Carer,"2021-12-07 07:47:29",754,Incoming,2
"Helena Harris","Damien Wright",Nurse,"2021-11-08 10:19:52",832,Incoming,45
"Helena Harris","Ashley Holmes",Carer,"2021-12-10 05:12:46",538,Outgoing,51
"Helena Harris","Grant Gray",Nurse,"2021-12-17 07:32:09",995,Outgoing,39
"Helena Harris","Maisie Robinson",Nurse,"2021-12-24 04:00:17",656,Outgoing,46
"Helena Harris","Lexi Bell",Carer,"2021-12-24 06:03:48",202,Outgoing,64
"Helena Harris","Harley Anderson",Nurse,"2021-12-19 09:34:04",364,Outgoing,58
"Helena Harris","Lexi Cox",Nurse,"2021-11-29 04:42:45",439,Incoming,8
"Helena Harris","Melissa Chapman",Carer,"2021-11-13 07:34:06",540,Outgoing,69
"Helena Harris","Kelly Graham",Nurse,"2021-12-15 09:34:46",94,Incoming,66
"Helena Harris","Reece Mitchell",Nurse,"2021-12-06 09:08:01",175,Outgoing,99
"Helena Harris","Martin Marshall",Carer,"2021-12-21 05:22:02",499,Outgoing,67
"Helena Harris","Lewis Ellis",Nurse,"2021-12-24 11:37:50",969,Outgoing,93
"Helena Harris","Amanda Hunt",Carer,"2021-12-18 08:17:44",775,Outgoing,11
